Fecha_Hora,Tipo_Mensaje,ID_Nodo,Msg_ID,Paquetes_Perdidos,Perdida_%,Hum_Local_%,Hum_Global_%,Urgencia_Riego,Estado_CNP,Valvula,Temp_C,Luz_%,Estres_Evap,Nivel_Tanque_%,Vecinos_Red,Alerta_Sensor,Alerta_Valvula,Latencia_Subasta_ms,Error_Cuadratico_Consenso,Violacion_Exclusion_Mutua,Tiempo_Recuperacion_s,Consumo_Estimado_mAh
2026-07-02 19:41:44,consenso,3895648541,106505,0,0.0,81,91.31,17.18,0,0,18.2,0,7.78,41.31667,2,False,False,N/A,106.3128,NO,N/A,0.064024
2026-07-02 19:41:45,consenso,3361403025,106505,0,0.0,90,91.33,15.56,0,0,18.2,0,7.78,41.31667,2,False,False,N/A,1.7773,NO,N/A,0.055872
2026-07-02 19:41:46,consenso,145078341,106507,0,0.0,71,91.27,15.94,0,0,18.2,0,7.78,41.31667,2,False,False,N/A,410.6966,NO,N/A,0.059948
2026-07-02 19:41:46,consenso,3895648541,106506,0,0.0,81,91.04,17.18,0,0,18.2,0,7.78,41.31667,2,False,False,N/A,100.8221,NO,N/A,0.059543
2026-07-02 19:41:47,consenso,3361403025,106506,0,0.0,90,91.24,15.56,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,1.5456,NO,N/A,0.062844
2026-07-02 19:41:48,consenso,3895648541,106507,0,0.0,82,91.65,16.75,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,93.0789,NO,N/A,0.04271
2026-07-02 19:41:48,consenso,145078341,106508,0,0.0,72,91.86,16.33,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,394.2437,NO,N/A,0.0586
2026-07-02 19:41:49,consenso,3361403025,106507,0,0.0,90,91.5,15.56,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,2.2424,NO,N/A,0.048305
2026-07-02 19:41:50,consenso,3895648541,106508,0,0.0,82,91.66,16.75,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,93.3566,NO,N/A,0.056326
2026-07-02 19:41:50,consenso,145078341,106509,0,0.0,71,91.22,15.94,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,408.7542,NO,N/A,0.054308
2026-07-02 19:41:51,consenso,3361403025,106508,0,0.0,90,91.47,15.56,0,0,18.1,0,7.78,41.35445,2,False,False,N/A,2.157,NO,N/A,0.05924
2026-07-02 19:41:52,consenso,3895648541,106509,0,0.0,81,91.0,17.18,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,100.053,NO,N/A,0.057465
2026-07-02 19:41:52,consenso,145078341,106510,0,0.0,70,90.73,15.56,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,429.5948,NO,N/A,0.059547
2026-07-02 19:41:53,consenso,3361403025,106509,0,0.0,89,90.67,15.56,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,2.7778,NO,N/A,0.052052
2026-07-02 19:41:54,consenso,145078341,106511,0,0.0,70,90.78,15.56,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,431.8358,NO,N/A,0.047209
2026-07-02 19:41:54,consenso,3895648541,106510,0,0.0,81,90.85,17.18,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,97.0158,NO,N/A,0.071809
2026-07-02 19:41:55,consenso,3361403025,106510,0,0.0,90,91.24,15.56,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,1.5399,NO,N/A,0.055082
